Geoid,Tract,Year,type,County,CRA Eligible
6055251902,2519.02,2016,mid,Solano County,not eligible
6055251903,2519.03,2016,mid,Solano County,not eligible
6055252000,2520.0,2016,mid,Solano County,not eligible
6055252102,2521.02,2016,mid,Solano County,not eligible
6055252103,2521.03,2016,mid,Solano County,not eligible
6055252104,2521.04,2016,high,Solano County,not eligible
6055252105,2521.05,2016,high,Solano County,not eligible
6055252106,2521.06,2016,mid,Solano County,not eligible
6055252107,2521.07,2016,mid,Solano County,not eligible
6055252108,2521.08,2016,high,Solano County,not eligible
6055252201,2522.01,2016,high,Solano County,not eligible
6055252202,2522.02,2016,high,Solano County,not eligible
6055252305,2523.05,2016,high,Solano County,not eligible
6055252306,2523.06,2016,mid,Solano County,not eligible
6055252310,2523.1,2016,high,Solano County,not eligible
6055252311,2523.11,2016,high,Solano County,not eligible
6055252312,2523.12,2016,mid,Solano County,not eligible
6055252313,2523.13,2016,mid,Solano County,not eligible
6055252314,2523.14,2016,mid,Solano County,not eligible
6055252315,2523.15,2016,high,Solano County,not eligible
6055252316,2523.16,2016,mid,Solano County,not eligible
6055252317,2523.17,2016,high,Solano County,not eligible
6055252401,2524.01,2016,mod,Solano County,eligible
6055252402,2524.02,2016,mod,Solano County,eligible
6055252501,2525.01,2016,mod,Solano County,eligible
6055252502,2525.02,2016,mod,Solano County,eligible
6055252604,2526.04,2016,mod,Solano County,eligible
6055252605,2526.05,2016,mod,Solano County,eligible
6055252606,2526.06,2016,mod,Solano County,eligible
6055252607,2526.07,2016,mod,Solano County,eligible
6055252608,2526.08,2016,mod,Solano County,eligible
6055252610,2526.1,2016,mid,Solano County,not eligible
6055252611,2526.11,2016,mod,Solano County,eligible
6055252702,2527.02,2016,mid,Solano County,not eligible
6055252703,2527.03,2016,mid,Solano County,not eligible
6055252704,2527.04,2016,mid,Solano County,not eligible
6055252705,2527.05,2016,mid,Solano County,not eligible
6055252706,2527.06,2016,mid,Solano County,not eligible
6055252707,2527.07,2016,mod,Solano County,eligible
6055252903,2529.03,2016,high,Solano County,not eligible
6055252904,2529.04,2016,mid,Solano County,not eligible
6055252908,2529.08,2016,mid,Solano County,not eligible
6055252909,2529.09,2016,mid,Solano County,not eligible
6055252910,2529.1,2016,high,Solano County,not eligible
6055252911,2529.11,2016,mid,Solano County,not eligible
6055252912,2529.12,2016,high,Solano County,not eligible
6055252913,2529.13,2016,high,Solano County,not eligible
6055252914,2529.14,2016,mid,Solano County,not eligible
6055252915,2529.15,2016,high,Solano County,not eligible
6055253000,2530.0,2016,not categorized,Solano County,not eligible
6055253101,2531.01,2016,mid,Solano County,not eligible
6055253105,2531.05,2016,mod,Solano County,eligible
6055253106,2531.06,2016,mid,Solano County,not eligible
6055253107,2531.07,2016,mid,Solano County,not eligible
6055253108,2531.08,2016,mod,Solano County,eligible
6055253201,2532.01,2016,high,Solano County,not eligible
6055253203,2532.03,2016,mod,Solano County,eligible
6055253204,2532.04,2016,mid,Solano County,not eligible
6055253205,2532.05,2016,mid,Solano County,not eligible
6055253206,2532.06,2016,high,Solano County,not eligible
6055253300,2533.0,2016,mid,Solano County,not eligible
6055253402,2534.02,2016,mid,Solano County,not eligible
6055253403,2534.03,2016,mid,Solano County,not eligible
6055253404,2534.04,2016,mid,Solano County,not eligible
6055253500,2535.0,2016,mid,Solano County,not eligible
6041150100,1501.0,2010,mid,Sonoma County,not eligible
6041150201,1502.01,2010,mid,Sonoma County,not eligible
6041150202,1502.02,2010,mid,Sonoma County,not eligible
6041150302,1503.02,2010,mod,Sonoma County,eligible
6041150303,1503.03,2010,mid,Sonoma County,not eligible
6041150304,1503.04,2010,mid,Sonoma County,not eligible
6041150500,1505.0,2010,mid,Sonoma County,not eligible
6041150601,1506.01,2010,mid,Sonoma County,not eligible
6041150602,1506.02,2010,mid,Sonoma County,not eligible
6041150603,1506.03,2010,mid,Sonoma County,not eligible
6041150605,1506.05,2010,high,Sonoma County,not eligible
6041150606,1506.06,2010,high,Sonoma County,not eligible
