Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone
6087120301,"Census Tract 1203.01, Santa Cruz County, California",4794,529,4662,4457,58,114,132,73,0,0,0
6087120302,"Census Tract 1203.02, Santa Cruz County, California",2750,317,2406,2213,16,72,344,253,0,0,0
6087120400,"Census Tract 1204, Santa Cruz County, California",4956,414,4659,4506,0,92,297,265,0,0,0
6087120500,"Census Tract 1205, Santa Cruz County, California",6287,456,5651,5237,0,131,636,599,0,0,0
6087120600,"Census Tract 1206, Santa Cruz County, California",5013,538,4751,4479,34,77,262,142,0,0,0
6087120700,"Census Tract 1207, Santa Cruz County, California",3782,416,3485,3206,0,169,297,285,0,0,0
6087120800,"Census Tract 1208, Santa Cruz County, California",6091,422,5777,5420,36,147,314,227,0,7,0
6087120900,"Census Tract 1209, Santa Cruz County, California",7951,422,7123,6356,21,537,828,540,0,37,19
6087121000,"Census Tract 1210, Santa Cruz County, California",3726,411,3461,3248,49,39,265,250,0,0,0
6087121100,"Census Tract 1211, Santa Cruz County, California",2785,168,2496,2288,0,82,289,289,0,0,0
6087121200,"Census Tract 1212, Santa Cruz County, California",6991,474,6419,5804,0,301,572,387,0,0,0
6087121300,"Census Tract 1213, Santa Cruz County, California",4007,381,2843,2547,40,207,1164,890,0,1,0
6087121401,"Census Tract 1214.01, Santa Cruz County, California",2387,254,1827,1491,16,80,560,346,0,0,0
6087121402,"Census Tract 1214.02, Santa Cruz County, California",3988,297,2712,2318,0,253,1276,1101,0,0,38
6087121403,"Census Tract 1214.03, Santa Cruz County, California",3120,335,2417,2097,64,95,703,523,0,0,28
6087121500,"Census Tract 1215, Santa Cruz County, California",5272,712,4067,3553,60,219,1205,1080,0,0,0
6087121600,"Census Tract 1216, Santa Cruz County, California",5317,461,4630,4399,0,46,687,345,8,0,0
6087121700,"Census Tract 1217, Santa Cruz County, California",7363,549,5640,4900,38,301,1723,1189,0,0,0
6087121800,"Census Tract 1218, Santa Cruz County, California",4531,360,3866,3429,19,230,665,199,0,0,11
6087122001,"Census Tract 1220.01, Santa Cruz County, California",4699,420,4307,4052,0,27,392,219,0,9,9
6087122002,"Census Tract 1220.02, Santa Cruz County, California",3616,275,3447,3180,147,57,169,123,0,0,0
6087122003,"Census Tract 1220.03, Santa Cruz County, California",5915,378,5083,4320,0,285,832,661,0,0,0
6087122100,"Census Tract 1221, Santa Cruz County, California",2807,262,2390,2163,53,87,417,371,0,0,0
6087122201,"Census Tract 1222.01, Santa Cruz County, California",6596,549,5762,5379,85,62,834,506,0,0,0
6087122202,"Census Tract 1222.02, Santa Cruz County, California",2058,179,1796,1517,64,167,262,183,0,0,0
6087122203,"Census Tract 1222.03, Santa Cruz County, California",3689,270,3433,3197,10,206,256,155,0,0,0
6087122300,"Census Tract 1223, Santa Cruz County, California",3566,363,2724,2449,46,105,842,798,0,0,0
