GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; 1, detached","Margin of Error; 1, detached","Estimate; 1, attached","Margin of Error; 1, attached",Estimate; 2,Margin of Error; 2,Estimate; 3 or 4,Margin of Error; 3 or 4,Estimate; 5 to 9,Margin of Error; 5 to 9,Estimate; 10 to 19,Margin of Error; 10 to 19,Estimate; 20 to 49,Margin of Error; 20 to 49,Estimate; 50 or more,Margin of Error; 50 or more,Estimate; Mobile home,Margin of Error; Mobile home,"Estimate; Boat, RV, van, etc.","Margin of Error; Boat, RV, van, etc."
1400000US06067005701,06067005701,"Census Tract 57.01, Sacramento County, California",1379,23,1191,77,86,44,60,63,32,47,0,132,0,132,10,17,0,132,0,132,0,132
1400000US06067005702,06067005702,"Census Tract 57.02, Sacramento County, California",1950,23,1845,70,74,49,0,132,0,132,0,132,31,42,0,132,0,132,0,132,0,132
1400000US06067005801,06067005801,"Census Tract 58.01, Sacramento County, California",2374,43,1849,108,199,82,29,36,91,67,39,44,72,78,20,29,75,43,0,132,0,132
1400000US06067005803,06067005803,"Census Tract 58.03, Sacramento County, California",1525,22,1403,55,67,42,30,27,0,132,0,132,13,20,12,19,0,132,0,132,0,132
1400000US06067005804,06067005804,"Census Tract 58.04, Sacramento County, California",1163,21,939,66,62,50,47,39,0,132,0,132,0,132,73,47,42,39,0,132,0,132
1400000US06067005901,06067005901,"Census Tract 59.01, Sacramento County, California",2563,48,1971,149,180,78,36,54,60,86,127,94,0,132,47,35,142,87,0,132,0,132
1400000US06067005902,06067005902,"Census Tract 59.02, Sacramento County, California",3422,46,1680,178,147,96,67,59,466,177,312,126,179,141,307,174,247,93,17,25,0,132
1400000US06067006002,06067006002,"Census Tract 60.02, Sacramento County, California",2267,41,1147,135,25,28,20,23,390,132,210,97,182,111,195,100,98,48,0,132,0,132
1400000US06067006003,06067006003,"Census Tract 60.03, Sacramento County, California",2014,41,735,129,70,42,56,64,209,73,213,85,181,102,434,168,116,71,0,132,0,132
1400000US06067006004,06067006004,"Census Tract 60.04, Sacramento County, California",1085,38,842,68,112,58,41,47,5,10,20,32,0,132,24,29,41,26,0,132,0,132
