GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Not Hispanic or Latino,Margin of Error; Total: - Not Hispanic or Latino,Estimate; Total: - Hispanic or Latino,Margin of Error; Total: - Hispanic or Latino
1400000US06001420100,06001420100,"Census Tract 4201, Alameda County, California",2434,126,2266,149,168,71
1400000US06001420200,06001420200,"Census Tract 4202, Alameda County, California",3196,290,2705,256,491,297
1400000US06001420300,06001420300,"Census Tract 4203, Alameda County, California",4948,359,4349,426,599,318
1400000US06001420400,06001420400,"Census Tract 4204, Alameda County, California",3247,206,2489,286,758,278
1400000US06001420500,06001420500,"Census Tract 4205, Alameda County, California",2513,164,2282,168,231,110
1400000US06001420600,06001420600,"Census Tract 4206, Alameda County, California",3344,235,3042,240,302,125
1400000US06001421100,06001421100,"Census Tract 4211, Alameda County, California",2085,174,2000,174,85,47
1400000US06001421200,06001421200,"Census Tract 4212, Alameda County, California",3650,164,3412,190,238,121
1400000US06001421300,06001421300,"Census Tract 4213, Alameda County, California",3924,284,3842,276,82,50
1400000US06001421400,06001421400,"Census Tract 4214, Alameda County, California",1709,129,1631,125,78,39
1400000US06001421500,06001421500,"Census Tract 4215, Alameda County, California",3804,255,3622,254,182,90
1400000US06001421600,06001421600,"Census Tract 4216, Alameda County, California",3545,354,3378,343,167,75
1400000US06001421700,06001421700,"Census Tract 4217, Alameda County, California",3572,239,3276,264,296,135
1400000US06001421800,06001421800,"Census Tract 4218, Alameda County, California",2241,103,2164,105,77,40
1400000US06001421900,06001421900,"Census Tract 4219, Alameda County, California",3962,317,3647,302,315,175
1400000US06001422000,06001422000,"Census Tract 4220, Alameda County, California",1973,173,1738,165,235,103
1400000US06001422100,06001422100,"Census Tract 4221, Alameda County, California",2617,281,2241,302,376,205
1400000US06001422200,06001422200,"Census Tract 4222, Alameda County, California",3553,256,3083,311,470,195
1400000US06001422300,06001422300,"Census Tract 4223, Alameda County, California",3890,393,3561,321,329,213
1400000US06001422400,06001422400,"Census Tract 4224, Alameda County, California",4187,350,3837,345,350,145
1400000US06001422500,06001422500,"Census Tract 4225, Alameda County, California",4136,351,3728,343,408,119
1400000US06001422600,06001422600,"Census Tract 4226, Alameda County, California",1421,228,1230,209,191,63
1400000US06001422700,06001422700,"Census Tract 4227, Alameda County, California",5207,449,4390,412,817,152
1400000US06001422800,06001422800,"Census Tract 4228, Alameda County, California",9074,555,7630,411,1444,444
1400000US06001422900,06001422900,"Census Tract 4229, Alameda County, California",5167,753,4821,745,346,153
1400000US06001423000,06001423000,"Census Tract 4230, Alameda County, California",4679,487,4081,463,598,286
1400000US06001423100,06001423100,"Census Tract 4231, Alameda County, California",4319,284,3825,357,494,216
1400000US06001423200,06001423200,"Census Tract 4232, Alameda County, California",3069,339,2101,300,968,383
1400000US06001423300,06001423300,"Census Tract 4233, Alameda County, California",4060,425,3579,383,481,240
1400000US06001423400,06001423400,"Census Tract 4234, Alameda County, California",5307,539,4544,554,763,244
1400000US06001423500,06001423500,"Census Tract 4235, Alameda County, California",3284,286,2784,260,500,202
1400000US06001423601,06001423601,"Census Tract 4236.01, Alameda County, California",2839,274,2618,305,221,120
1400000US06001423602,06001423602,"Census Tract 4236.02, Alameda County, California",5243,920,4807,936,436,199
1400000US06001423700,06001423700,"Census Tract 4237, Alameda County, California",4379,895,4065,869,314,125
1400000US06001423800,06001423800,"Census Tract 4238, Alameda County, California",2910,240,2639,249,271,115
1400000US06001423901,06001423901,"Census Tract 4239.01, Alameda County, California",1986,169,1686,188,300,99
1400000US06001423902,06001423902,"Census Tract 4239.02, Alameda County, California",1542,141,1433,130,109,45
1400000US06001424001,06001424001,"Census Tract 4240.01, Alameda County, California",4320,292,3679,288,641,176
1400000US06001424002,06001424002,"Census Tract 4240.02, Alameda County, California",2525,266,1927,220,598,250
1400000US06001425101,06001425101,"Census Tract 4251.01, Alameda County, California",1738,166,1675,174,63,42
1400000US06001425102,06001425102,"Census Tract 4251.02, Alameda County, California",3494,227,3203,236,291,135
1400000US06001425103,06001425103,"Census Tract 4251.03, Alameda County, California",2871,199,2649,197,222,140
1400000US06001425104,06001425104,"Census Tract 4251.04, Alameda County, California",3421,264,2953,249,468,180
1400000US06001426100,06001426100,"Census Tract 4261, Alameda County, California",6339,205,6136,241,203,138
1400000US06001426200,06001426200,"Census Tract 4262, Alameda County, California",4957,206,4638,259,319,157
1400000US06001427100,06001427100,"Census Tract 4271, Alameda County, California",3786,223,3374,244,412,141
1400000US06001427200,06001427200,"Census Tract 4272, Alameda County, California",4218,356,3121,397,1097,383
1400000US06001427300,06001427300,"Census Tract 4273, Alameda County, California",5169,289,4674,318,495,226
1400000US06001427600,06001427600,"Census Tract 4276, Alameda County, California",5680,352,4968,393,712,274
1400000US06001427700,06001427700,"Census Tract 4277, Alameda County, California",5075,447,4365,448,710,224
1400000US06001427800,06001427800,"Census Tract 4278, Alameda County, California",5241,437,4905,442,336,174
1400000US06001427900,06001427900,"Census Tract 4279, Alameda County, California",4951,405,4333,449,618,241
1400000US06001428000,06001428000,"Census Tract 4280, Alameda County, California",2751,271,2326,293,425,185
1400000US06001428100,06001428100,"Census Tract 4281, Alameda County, California",4866,243,4215,262,651,149
1400000US06001428200,06001428200,"Census Tract 4282, Alameda County, California",6508,345,5879,369,629,145
1400000US06001428301,06001428301,"Census Tract 4283.01, Alameda County, California",7012,372,6349,371,663,129
1400000US06001428302,06001428302,"Census Tract 4283.02, Alameda County, California",7472,485,6877,510,595,129
1400000US06001428400,06001428400,"Census Tract 4284, Alameda County, California",4516,332,3866,356,650,197
1400000US06001428500,06001428500,"Census Tract 4285, Alameda County, California",3147,219,2875,231,272,127
1400000US06001428600,06001428600,"Census Tract 4286, Alameda County, California",3412,243,3181,263,231,117
1400000US06001428700,06001428700,"Census Tract 4287, Alameda County, California",4442,333,3907,344,535,163
1400000US06001430101,06001430101,"Census Tract 4301.01, Alameda County, California",6899,456,6489,429,410,190
1400000US06001430102,06001430102,"Census Tract 4301.02, Alameda County, California",2427,146,2169,181,258,115
1400000US06001430200,06001430200,"Census Tract 4302, Alameda County, California",6690,405,6030,409,660,355
1400000US06001430300,06001430300,"Census Tract 4303, Alameda County, California",3705,259,3268,272,437,98
1400000US06001430400,06001430400,"Census Tract 4304, Alameda County, California",2150,187,1787,196,363,185
1400000US06001430500,06001430500,"Census Tract 4305, Alameda County, California",6076,393,4854,414,1222,217
1400000US06001430600,06001430600,"Census Tract 4306, Alameda County, California",6609,458,5653,605,956,421
1400000US06001430700,06001430700,"Census Tract 4307, Alameda County, California",4138,211,3559,256,579,239
1400000US06001430800,06001430800,"Census Tract 4308, Alameda County, California",5457,549,4451,585,1006,515
1400000US06001430900,06001430900,"Census Tract 4309, Alameda County, California",5245,395,3855,379,1390,346
1400000US06001431000,06001431000,"Census Tract 4310, Alameda County, California",2924,198,1958,276,966,211
1400000US06001431100,06001431100,"Census Tract 4311, Alameda County, California",3575,308,2333,219,1242,266
1400000US06001431200,06001431200,"Census Tract 4312, Alameda County, California",5818,338,4878,356,940,294
1400000US06001432100,06001432100,"Census Tract 4321, Alameda County, California",3792,243,3058,265,734,161
1400000US06001432200,06001432200,"Census Tract 4322, Alameda County, California",4487,299,3280,267,1207,231
1400000US06001432300,06001432300,"Census Tract 4323, Alameda County, California",4727,308,2876,399,1851,480
1400000US06001432400,06001432400,"Census Tract 4324, Alameda County, California",6461,373,4092,354,2369,383
1400000US06001432501,06001432501,"Census Tract 4325.01, Alameda County, California",4737,415,3040,522,1697,357
1400000US06001432502,06001432502,"Census Tract 4325.02, Alameda County, California",5109,317,3493,381,1616,310
1400000US06001432600,06001432600,"Census Tract 4326, Alameda County, California",7391,466,5103,499,2288,438
1400000US06001432700,06001432700,"Census Tract 4327, Alameda County, California",2843,189,2059,190,784,197
1400000US06001432800,06001432800,"Census Tract 4328, Alameda County, California",3889,331,3053,387,836,262
1400000US06001433000,06001433000,"Census Tract 4330, Alameda County, California",3838,543,2938,496,900,353
1400000US06001433102,06001433102,"Census Tract 4331.02, Alameda County, California",4161,317,2502,331,1659,445
1400000US06001433103,06001433103,"Census Tract 4331.03, Alameda County, California",3805,200,2569,234,1236,217
1400000US06001433104,06001433104,"Census Tract 4331.04, Alameda County, California",3839,336,2670,321,1169,341
1400000US06001433200,06001433200,"Census Tract 4332, Alameda County, California",7392,517,5892,549,1500,366
1400000US06001433300,06001433300,"Census Tract 4333, Alameda County, California",7841,439,5904,442,1937,271
1400000US06001433400,06001433400,"Census Tract 4334, Alameda County, California",6546,488,5636,340,910,305
1400000US06001433500,06001433500,"Census Tract 4335, Alameda County, California",4664,252,3278,344,1386,302
1400000US06001433600,06001433600,"Census Tract 4336, Alameda County, California",5757,393,4697,406,1060,231
1400000US06001433700,06001433700,"Census Tract 4337, Alameda County, California",3669,404,1491,208,2178,391
1400000US06001433800,06001433800,"Census Tract 4338, Alameda County, California",8282,701,5051,650,3231,720
