,City Name,"hispanic, LM","hispanic, MH","non hispanic white, LM","non hispanic white, MH","asian, LM","asian, MH","black, LM","black, MH","other, LM","other , MH","missing race/ethnicity, LM","missing race/ethnicity, MH"
37,"Campbell city, CA",0.0,0.034,0.009,0.316,0.023,0.441,0.0,0.0,0.001,0.007,0.013,0.157
38,"Carmet CDP, CA",0.0,0.041,0.0,0.662,0.0,0.054,0.0,0.0,0.0,0.027,0.0,0.216
39,"Castle Hill CDP, CA",0.0,0.047,0.0,0.56,0.0,0.127,0.0,0.0,0.0,0.007,0.0,0.26
40,"Castro Valley CDP, CA",0.019,0.046,0.084,0.208,0.092,0.285,0.0,0.0,0.02,0.053,0.056,0.137
41,"Cazadero CDP, CA",0.017,0.017,0.398,0.271,0.033,0.022,0.0,0.0,0.011,0.011,0.133,0.088
42,"Cherryland CDP, CA",0.158,0.0,0.16,0.0,0.429,0.0,0.0,0.0,0.055,0.0,0.198,0.0
43,"Clayton city, CA",0.0,0.092,0.0,0.484,0.0,0.138,0.0,0.0,0.0,0.037,0.0,0.249
44,"Cloverdale city, CA",0.063,0.037,0.12,0.529,0.0,0.016,0.0,0.0,0.0,0.016,0.068,0.152
45,"Clyde CDP, CA",0.0,0.204,0.0,0.34,0.0,0.184,0.0,0.0,0.0,0.068,0.0,0.204
46,"Colma town, CA",0.081,0.0,0.199,0.0,0.559,0.0,0.0,0.0,0.059,0.0,0.103,0.0
47,"Concord city, CA",0.033,0.086,0.092,0.326,0.031,0.151,0.0,0.0,0.013,0.033,0.044,0.191
48,"Contra Costa Centre CDP, CA",0.0,0.038,0.0,0.468,0.0,0.212,0.0,0.0,0.0,0.034,0.0,0.248
49,"Corte Madera town, CA",0.0,0.025,0.0,0.684,0.0,0.047,0.0,0.0,0.0,0.022,0.0,0.222
50,"Cotati city, CA",0.095,0.063,0.241,0.385,0.025,0.027,0.0,0.0,0.005,0.007,0.048,0.105
51,"Crockett CDP, CA",0.188,0.045,0.188,0.21,0.068,0.051,0.0,0.0,0.023,0.0,0.159,0.068
52,"Cupertino city, CA",0.0,0.009,0.0,0.14,0.0,0.717,0.0,0.0,0.0,0.0,0.0,0.134
53,"Daly City city, CA",0.017,0.037,0.044,0.116,0.175,0.431,0.0,0.0,0.009,0.014,0.046,0.111
54,"Danville town, CA",0.0,0.028,0.0,0.472,0.0,0.261,0.0,0.0,0.0,0.017,0.0,0.222
55,"Deer Park CDP, CA",0.0,0.033,0.0,0.689,0.0,0.082,0.0,0.0,0.0,0.016,0.0,0.18
56,"Diablo CDP, CA",0.0,0.035,0.0,0.576,0.0,0.146,0.0,0.0,0.0,0.015,0.0,0.228
57,"Dillon Beach CDP, CA",0.026,0.0,0.789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184,0.0
58,"Discovery Bay CDP, CA",0.008,0.082,0.127,0.46,0.012,0.052,0.0,0.0,0.005,0.043,0.043,0.168
