,Id2,Percent of population 25 years and over with Bachelor's degree,All families - Percent  below poverty level; Estimate; Families,% Single Family,% Owner Occupied,Percent White alone,Percent Black or African African alone,Percent Asian alone,Percent Hispanic,Estimate; Total Number of Housing Units,Estimate; Median value (dollars),Median income (dollars); All households,CRA Eligible_x,County,type,"% HI borrower, LI tract","# HI borrower, LI tract","% HI borrower, HI tract","# HI borrower, HI tract","% LI borrower, LI tract","# LI borrower, LI tract","%LI borrower, HI tract","# LI borrower, HI tract",Total Loans,CRA
616,6081601501,28.4,2.1,0.9755011135857461,0.7299382716049383,0.18481989708404803,0.015866209262435677,0.6923241852487135,0.09648370497427101,1347,659300.0,91667.0,not eligible,San Mateo County,mid,0.0,0.0,0.8367346938775511,41.0,0.0,0.0,0.16326530612244894,8.0,41.0,0
617,6081601502,29.8,7.6,0.12829131652661063,0.11499096929560505,0.12009001636661211,0.05032733224222586,0.5589198036006546,0.22217675941080198,1785,702300.0,61288.0,eligible,San Mateo County,mod,0.75,12.0,0.0,0.0,0.25,4.0,0.0,0.0,16.0,1
618,6081601601,18.4,3.2,0.39763779527559057,0.6900406504065041,0.3697301854974705,0.03583473861720068,0.21711635750421585,0.3448566610455312,1016,181600.0,69561.0,eligible,San Mateo County,mod,0.6944444444444444,25.0,0.0,0.0,0.3055555555555556,11.0,0.0,0.0,36.0,1
619,6081601601,18.4,3.2,0.39763779527559057,0.6900406504065041,0.3697301854974705,0.03583473861720068,0.21711635750421585,0.3448566610455312,1016,181600.0,69561.0,eligible,San Mateo County,mod,0.6944444444444444,25.0,0.0,0.0,0.3055555555555556,11.0,0.0,0.0,36.0,1
620,6081601601,18.4,3.2,0.39763779527559057,0.6900406504065041,0.3697301854974705,0.03583473861720068,0.21711635750421585,0.3448566610455312,1016,181600.0,69561.0,eligible,San Mateo County,mod,0.6944444444444444,25.0,0.0,0.0,0.3055555555555556,11.0,0.0,0.0,36.0,1
621,6081601604,47.3,2.0,0.1970074812967581,0.7268722466960352,0.21425428948526176,0.03255609326880774,0.590849098108227,0.14782226132864057,1203,371200.0,61283.0,not eligible,San Mateo County,mid,0.0,0.0,0.4831460674157304,43.0,0.0,0.0,0.5168539325842697,46.0,43.0,0
622,6081601605,34.1,0.8,0.9761904761904762,0.8647707486941382,0.11168270826418851,0.0,0.7369731164951875,0.11151676070361766,1764,642400.0,89606.0,not eligible,San Mateo County,mid,0.0,0.0,0.6829268292682927,56.0,0.0,0.0,0.3170731707317073,26.0,56.0,0
623,6081601700,22.1,1.8,0.9798705966930266,0.8310567936736161,0.30413681534550496,0.035359371388953086,0.36769124104460366,0.24220013866420154,1391,632500.0,83242.0,not eligible,San Mateo County,mid,0.0,0.0,0.7252747252747253,66.0,0.0,0.0,0.27472527472527475,25.0,66.0,0
624,6081601900,24.3,6.3,0.5993672706356054,0.5696539485359361,0.26654085257548843,0.02997335701598579,0.3210479573712256,0.30039964476021314,3477,619000.0,67043.0,not eligible,San Mateo County,mid,0.0,0.0,0.688034188034188,161.0,0.0,0.0,0.311965811965812,73.0,161.0,0
625,6081602000,25.3,8.9,0.9362380446333688,0.7540337038365006,0.3323499230374551,0.0,0.34466393022062597,0.27308876346844535,2823,678400.0,87371.0,not eligible,San Mateo County,mid,0.0,0.0,0.8321678321678322,119.0,0.0,0.0,0.16783216783216784,24.0,119.0,0
