Tract,Year,County,type,CRA Eligible,"% HI borrower, LI tract","# HI borrower, LI tract","% HI borrower, HI tract","# HI borrower, HI tract","% LI borrower, LI tract","# LI borrower, LI tract","%LI borrower, HI tract","# LI borrower, HI tract",STATEFP00,COUNTYFP00,Period
5066.05,2017,Santa Clara County,mid,not eligible,0.0,0,1.0,42,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5066.05,2017,Santa Clara County,mid,not eligible,0.0,0,1.0,42,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5066.06,2017,Santa Clara County,mid,not eligible,0.0,0,1.0,51,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5066.06,2017,Santa Clara County,mid,not eligible,0.0,0,1.0,51,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5067.01,2017,Santa Clara County,high,not eligible,0.0,0,1.0,61,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5067.01,2017,Santa Clara County,high,not eligible,0.0,0,1.0,61,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5067.01,2017,Santa Clara County,high,not eligible,0.0,0,1.0,61,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5067.02,2017,Santa Clara County,mid,not eligible,0.0,0,0.99,99,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5067.03,2017,Santa Clara County,mid,not eligible,0.0,0,0.9680851063829788,91,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5067.03,2017,Santa Clara County,mid,not eligible,0.0,0,0.9680851063829788,91,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5068.01,2017,Santa Clara County,mid,not eligible,0.0,0,1.0,82,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5068.01,2017,Santa Clara County,mid,not eligible,0.0,0,1.0,82,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5068.02,2017,Santa Clara County,high,not eligible,0.0,0,0.9743589743589745,76,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5068.02,2017,Santa Clara County,high,not eligible,0.0,0,0.9743589743589745,76,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5068.02,2017,Santa Clara County,high,not eligible,0.0,0,0.9743589743589745,76,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5068.03,2017,Santa Clara County,high,not eligible,0.0,0,1.0,64,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5068.04,2017,Santa Clara County,high,not eligible,0.0,0,1.0,44,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5068.04,2017,Santa Clara County,high,not eligible,0.0,0,1.0,44,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5068.04,2017,Santa Clara County,high,not eligible,0.0,0,1.0,44,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5069.0,2017,Santa Clara County,high,not eligible,0.0,0,1.0,119,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5069.0,2017,Santa Clara County,high,not eligible,0.0,0,1.0,119,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5069.0,2017,Santa Clara County,high,not eligible,0.0,0,1.0,119,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5070.01,2017,Santa Clara County,high,not eligible,0.0,0,0.9924812030075189,132,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5070.01,2017,Santa Clara County,high,not eligible,0.0,0,0.9924812030075189,132,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5070.01,2017,Santa Clara County,high,not eligible,0.0,0,0.9924812030075189,132,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5070.02,2017,Santa Clara County,high,not eligible,0.0,0,0.9814814814814816,53,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5070.02,2017,Santa Clara County,high,not eligible,0.0,0,0.9814814814814816,53,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5070.02,2017,Santa Clara County,high,not eligible,0.0,0,0.9814814814814816,53,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5071.0,2017,Santa Clara County,high,not eligible,0.0,0,0.972972972972973,36,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5071.0,2017,Santa Clara County,high,not eligible,0.0,0,0.972972972972973,36,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5071.0,2017,Santa Clara County,high,not eligible,0.0,0,0.972972972972973,36,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5072.03,2017,Santa Clara County,high,not eligible,0.0,0,0.9736842105263158,37,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5072.03,2017,Santa Clara County,high,not eligible,0.0,0,0.9736842105263158,37,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5072.05,2017,Santa Clara County,high,not eligible,0.0,0,0.9489795918367347,93,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5072.05,2017,Santa Clara County,high,not eligible,0.0,0,0.9489795918367347,93,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5072.05,2017,Santa Clara County,high,not eligible,0.0,0,0.9489795918367347,93,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5072.06,2017,Santa Clara County,high,not eligible,0.0,0,1.0,40,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5072.06,2017,Santa Clara County,high,not eligible,0.0,0,1.0,40,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5072.06,2017,Santa Clara County,high,not eligible,0.0,0,1.0,40,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5073.01,2017,Santa Clara County,high,not eligible,0.0,0,1.0,84,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5073.01,2017,Santa Clara County,high,not eligible,0.0,0,1.0,84,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5073.02,2017,Santa Clara County,high,not eligible,0.0,0,1.0,38,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5073.02,2017,Santa Clara County,high,not eligible,0.0,0,1.0,38,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5074.01,2017,Santa Clara County,high,not eligible,0.0,0,1.0,75,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5074.02,2017,Santa Clara County,high,not eligible,0.0,0,0.9863013698630136,72,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5074.02,2017,Santa Clara County,high,not eligible,0.0,0,0.9863013698630136,72,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5075.0,2017,Santa Clara County,high,not eligible,0.0,0,1.0,62,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5076.0,2017,Santa Clara County,high,not eligible,0.0,0,0.9814814814814816,53,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5076.0,2017,Santa Clara County,high,not eligible,0.0,0,0.9814814814814816,53,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
