Tract,Year,CRA Eligible
6013307204,2009,not eligible
6075022802,2009,eligible
6075022901,2009,eligible
6075022902,2009,eligible
6013308001,2009,not eligible
6013308002,2009,not eligible
6013309000,2009,not eligible
6013309000,2009,not eligible
6013309000,2009,not eligible
6075022903,2009,eligible
6013313101,2009,eligible
6013313102,2009,not eligible
6075023001,2009,eligible
6013313201,2009,not eligible
6013313201,2009,not eligible
6095250502,2009,not eligible
6095250502,2009,not eligible
6095250502,2009,not eligible
6013314200,2009,eligible
6013314200,2009,eligible
6013317000,2009,eligible
6013317000,2009,eligible
6013333200,2009,not eligible
6013319000,2009,not eligible
6013319000,2009,not eligible
6013319000,2009,not eligible
6013320001,2009,not eligible
6013320001,2009,not eligible
6013320001,2009,not eligible
6095252706,2009,not eligible
6095252706,2009,not eligible
6013320002,2009,not eligible
6013320002,2009,not eligible
6013320002,2009,not eligible
6081602200,2009,eligible
6013321200,2009,not eligible
6013321200,2009,not eligible
6013321200,2009,not eligible
6075023003,2009,eligible
6095252707,2009,not eligible
6095252707,2009,not eligible
6095252707,2009,not eligible
6075015600,2009,not eligible
6013324000,2009,not eligible
6013324000,2009,not eligible
6013324000,2009,not eligible
6013324000,2009,not eligible
6013324000,2009,not eligible
6075017800,2009,eligible
6075023400,2009,eligible
6013327000,2009,eligible
6013327000,2009,eligible
6013327000,2009,eligible
6013327000,2009,eligible
6013334001,2009,eligible
6013334005,2009,not eligible
6095250601,2009,not eligible
6095250601,2009,not eligible
6013335000,2009,not eligible
6013337100,2009,not eligible
6013337200,2009,not eligible
6013337300,2009,not eligible
6013337300,2009,not eligible
6013337300,2009,not eligible
6075025100,2009,eligible
6013389100,2009,not eligible
6075025300,2009,not eligible
6075025401,2009,eligible
6095251200,2009,eligible
6013389200,2009,eligible
6095251300,2009,not eligible
6075025500,2009,eligible
6013356001,2009,not eligible
6013356001,2009,not eligible
6013356001,2009,not eligible
6013356001,2009,not eligible
6013359101,2009,not eligible
6013359101,2009,not eligible
6013359101,2009,not eligible
6013359101,2009,not eligible
6075025600,2009,not eligible
6075025700,2009,eligible
6075026003,2009,not eligible
6075026004,2009,eligible
6075026301,2009,eligible
6013362000,2009,not eligible
