Place Name,"% HI borrower, LI tract","# HI borrower, LI tract","% HI borrower, HI tract","# HI borrower, HI tract","% LI borrower, LI tract","# LI borrower, LI tract","%LI borrower, HI tract","# LI borrower, HI tract",STATEFP00,COUNTYFP00,FIPS state,Period
Moraga town,0.0,0.0,0.9575233190612381,73.96666666666667,0.0,0.0,0.042476680938762036,3.3333333333333335,6.0,13.0,6.0,slump 2008-2012
Morgan Hill city,0.0,0.0,0.8242117901756095,91.25531914893617,0.0,0.0,0.1757882098243906,20.851063829787233,6.0,85.0,6.0,slump 2008-2012
Moss Beach CDP,0.0,0.0,0.8983535356402523,84.6,0.0,0.0,0.10164646435974747,9.4,6.0,81.0,6.0,slump 2008-2012
Mountain View CDP,0.10920245398773006,17.8,0.4909996186157189,83.0,0.09079754601226994,14.8,0.3090003813842811,55.2,6.0,13.0,6.0,slump 2008-2012
Mountain View city,0.14600025779584458,5.638655462184874,0.7706842806763742,50.680672268907564,0.030470330439449567,0.8403361344537815,0.052845131088331214,3.680672268907563,6.0,85.0,6.0,slump 2008-2012
Muir Beach CDP,0.0,0.0,0.9444444444444444,8.5,0.0,0.0,0.05555555555555555,0.5,6.0,41.0,6.0,slump 2008-2012
Napa city,0.20684481138237681,22.693181818181817,0.573154335691308,55.20454545454545,0.054518824981259546,4.613636363636363,0.16548202794505548,18.545454545454547,6.0,55.0,6.0,slump 2008-2012
Newark city,0.018398268398268396,1.5454545454545454,0.7431804676424648,122.03030303030303,0.011904761904761906,1.0,0.2265165020545049,30.454545454545453,6.0,1.0,6.0,slump 2008-2012
North Fair Oaks CDP,0.5077028145543454,27.75,0.2635573411460139,15.65,0.1922971854456545,10.9,0.03644265885398608,2.15,6.0,81.0,6.0,slump 2008-2012
Novato city,0.09901923721295314,10.5,0.6996180076485464,56.84375,0.04160576278704687,4.921875,0.15975699235145363,13.546875,6.0,41.0,6.0,slump 2008-2012
Oakland city,0.3566009917694541,20.015414258188823,0.2876473704706459,21.89402697495183,0.3100656748972124,18.0616570327553,0.04568596286268733,3.541425818882466,6.0,1.0,6.0,slump 2008-2012
Oakley city,0.15099957256502236,111.66666666666667,0.389286245275754,218.23809523809524,0.08709566553021574,44.666666666666664,0.37261851662900797,160.95238095238096,6.0,13.0,6.0,slump 2008-2012
Occidental CDP,0.0,0.0,0.9300899859934132,64.6,0.0,0.0,0.06991001400658677,5.2,6.0,97.0,6.0,slump 2008-2012
Orinda city,0.0,0.0,0.9419624602927877,77.75555555555556,0.0,0.0,0.05803753970721221,6.044444444444444,6.0,13.0,6.0,slump 2008-2012
Pacheco CDP,0.14337410119754657,25.066666666666666,0.4835788870047164,62.06666666666667,0.18995923213578675,30.133333333333333,0.18308777966195028,21.466666666666665,6.0,13.0,6.0,slump 2008-2012
Pacifica city,0.01920731707317073,1.575,0.8145316220354164,56.3,0.005792682926829268,0.475,0.16046837796458352,11.1,6.0,81.0,6.0,slump 2008-2012
Palo Alto city,0.06245128386968994,0.946236559139785,0.8774419734644558,62.903225806451616,0.023570221506654145,0.3010752688172043,0.03653652115919987,2.860215053763441,6.0,85.0,6.0,slump 2008-2012
Petaluma city,0.009255898366606171,0.8793103448275862,0.8049132861153927,78.67241379310344,0.007985480943738656,0.7586206896551724,0.17784533457426288,17.103448275862068,6.0,97.0,6.0,slump 2008-2012
Piedmont city,0.0,0.0,0.9918388586455296,83.4,0.0,0.0,0.008161141354470478,0.6,6.0,1.0,6.0,slump 2008-2012
Pinole city,0.0,0.0,0.5688943139343909,99.27027027027027,0.0,0.0,0.43110568606560923,67.21621621621621,6.0,13.0,6.0,slump 2008-2012
Pittsburg city,0.20494476794402275,24.83823529411765,0.2509979165288121,58.76470588235294,0.3244669967618595,35.44117647058823,0.2195903187653056,43.75,6.0,13.0,6.0,slump 2008-2012
Pleasant Hill city,0.07086573921993289,11.87719298245614,0.6965346566875884,78.56140350877193,0.08702899762217237,13.508771929824562,0.14557060647030648,17.719298245614034,6.0,13.0,6.0,slump 2008-2012
Pleasanton city,0.0,0.0,0.9166404514959009,140.21052631578948,0.0,0.0,0.083359548504099,13.394736842105264,6.0,1.0,6.0,slump 2008-2012
Point Reyes Station CDP,0.08095238095238096,1.7,0.8550720394987172,27.8,0.019047619047619046,0.4,0.04492796050128286,1.4,6.0,41.0,6.0,slump 2008-2012
Port Costa CDP,0.0,0.0,0.6518129108021693,34.6,0.0,0.0,0.34818708919783065,17.6,6.0,13.0,6.0,slump 2008-2012
Portola Valley town,0.0,0.0,0.9976190476190476,95.2,0.0,0.0,0.0023809523809523807,0.2,6.0,81.0,6.0,slump 2008-2012
Redwood City city,0.2763844762448273,10.826086956521738,0.5663287718568459,49.33913043478261,0.11491987158125959,4.139130434782609,0.04236688031706677,3.382608695652174,6.0,81.0,6.0,slump 2008-2012
Richmond city,0.2038520122917698,25.81560283687943,0.3009954308614936,38.12056737588652,0.33515507990681187,36.262411347517734,0.15999747693992492,20.914893617021278,6.0,13.0,6.0,slump 2008-2012
Rio Vista city,0.0,0.0,0.5802291812849553,170.4,0.0,0.0,0.41977081871504474,120.2,6.0,95.0,6.0,slump 2008-2012
Rodeo CDP,0.16667659138071045,20.285714285714285,0.36023122932589996,103.42857142857143,0.1904662657621467,20.5,0.2826259135312429,60.5,6.0,13.0,6.0,slump 2008-2012
Rohnert Park city,0.057574629000466324,4.509090909090909,0.5945599871113293,63.6,0.05151628009044277,4.054545454545455,0.29634910379776164,30.672727272727272,6.0,97.0,6.0,slump 2008-2012
Rollingwood CDP,0.18817203264571686,21.4,0.20820368228262964,23.8,0.31182796735428314,34.4,0.29179631771737036,32.6,6.0,13.0,6.0,slump 2008-2012
Roseland CDP,0.3241237030610869,41.291666666666664,0.18914751798375404,48.208333333333336,0.34254296360557984,40.916666666666664,0.1441858153495793,31.583333333333332,6.0,97.0,6.0,slump 2008-2012
Ross town,0.0,0.0,0.9690476190476192,27.6,0.0,0.0,0.030952380952380953,0.8,6.0,41.0,6.0,slump 2008-2012
San Anselmo town,0.057276995305164315,4.066666666666666,0.8740158934243802,80.8,0.009389671361502348,0.6666666666666666,0.05931743990895322,5.333333333333333,6.0,41.0,6.0,slump 2008-2012
San Bruno city,0.09707685820620689,6.517241379310345,0.6720224338955924,43.58620689655172,0.05809555558689656,3.4482758620689653,0.17280515231130397,13.258620689655173,6.0,81.0,6.0,slump 2008-2012
San Carlos city,0.0,0.0,0.950832889452083,71.40816326530613,0.0,0.0,0.049167110547917225,3.9183673469387754,6.0,81.0,6.0,slump 2008-2012
San Francisco city,0.34616904906386736,15.338129496402878,0.5084534094400979,32.28417266187051,0.09627699410160022,4.278177458033573,0.04910054739443404,3.2278177458033572,6.0,75.0,6.0,slump 2008-2012
San Geronimo CDP,0.0,0.0,0.8095453308034978,39.2,0.0,0.0,0.19045466919650225,9.6,6.0,41.0,6.0,slump 2008-2012
San Jose city,0.20382311595619637,17.41608040201005,0.5421999025962663,50.04221105527638,0.1368804016317433,12.2643216080402,0.11709657981579415,11.152763819095478,6.0,85.0,6.0,slump 2008-2012
San Leandro city,0.15530438584740255,14.215909090909092,0.4233068734748949,35.20454545454545,0.16287743233441565,14.011363636363637,0.25851130834328684,22.03409090909091,6.0,1.0,6.0,slump 2008-2012
San Lorenzo CDP,0.023414634146341463,1.92,0.5425358703436242,57.56,0.016585365853658537,1.36,0.4174641296563758,43.0,6.0,1.0,6.0,slump 2008-2012
San Martin CDP,0.0,0.0,0.8161871616686314,93.42857142857143,0.0,0.0,0.18381283833136877,24.5,6.0,85.0,6.0,slump 2008-2012
San Mateo city,0.05996240003397113,3.533333333333333,0.8073784198060977,46.096296296296295,0.02151908144751035,1.2592592592592593,0.11114009871242093,6.518518518518518,6.0,81.0,6.0,slump 2008-2012
San Pablo city,0.3415469732608879,33.1764705882353,0.006592292089249494,0.38235294117647056,0.62904126203323,59.294117647058826,0.02281947261663286,1.3235294117647058,6.0,13.0,6.0,slump 2008-2012
San Rafael city,0.06196329831384179,6.4375,0.7602158129200638,62.8125,0.04220336835282487,4.104166666666667,0.13561752041326988,10.395833333333334,6.0,41.0,6.0,slump 2008-2012
San Ramon city,0.0,0.0,0.9142363308907995,283.72,0.0,0.0,0.08576366910920064,18.8,6.0,13.0,6.0,slump 2008-2012
Santa Clara city,0.1431164787499139,8.35135135135135,0.6835227208477849,49.939189189189186,0.046072710439275286,2.635135135135135,0.1272880899630257,8.79054054054054,6.0,85.0,6.0,slump 2008-2012
Santa Rosa city,0.1483569357411589,12.569767441860465,0.5365621878343066,68.65697674418605,0.11327097123558527,10.94767441860465,0.20180990518894928,26.58139534883721,6.0,97.0,6.0,slump 2008-2012
Santa Venetia CDP,0.14414414414414414,16.0,0.6115299155711836,64.2,0.05585585585585586,6.2,0.18847008442881624,20.0,6.0,41.0,6.0,slump 2008-2012
Saratoga city,0.0,0.0,0.9809453089062348,80.6734693877551,0.0,0.0,0.019054691093765293,1.653061224489796,6.0,85.0,6.0,slump 2008-2012
Sausalito city,0.0,0.0,0.9446419795482296,64.375,0.0,0.0,0.05535802045177045,3.75,6.0,41.0,6.0,slump 2008-2012
Sebastopol city,0.0,0.0,0.7957522797270298,64.8,0.0,0.0,0.20424772027297036,21.2,6.0,97.0,6.0,slump 2008-2012
Seven Trees CDP,0.3807908532329363,62.1,0.0,0.0,0.6192091467670638,90.6,0.0,0.0,6.0,85.0,6.0,slump 2008-2012
Sonoma city,0.0,0.0,0.8824467732148177,76.92857142857143,0.0,0.0,0.11755322678518236,13.071428571428571,6.0,97.0,6.0,slump 2008-2012
